issue type,summary,description,priority,parent
Epic,CNS-0001,"Comprehensive authentication system including OTP registration/sign-in, profile management, avatar upload, Passkey authentication, SMS OTP, social media OAuth (Google/Apple/Facebook/Microsoft), unified authentication UI, account linking, analytics, and error handling.",P0,
Epic,CNS-0002,"Enable users to find venues through text-based search by name or location, location-based 'Near Me' feature using GPS, and display comprehensive venue information in search results.",P0,
Epic,CNS-0003,"Manage venue selection lifecycle including explicit venue selection, visual confirmation of selected venue, switching venues, and handling cart items during venue changes.",P0,
Epic,CNS-0004,"Comprehensive product browsing system with category-based navigation, featured products section, product detail views with alcohol content, allergy information, and pricing.",P0,
Epic,CNS-0005,"Advanced product discovery through text-based search, category/tag filtering, multiple filter combinations, sort options (price, popularity, name), and search result relevance.",P0,
Epic,CNS-0006,"Ensure users meet legal drinking age requirements through age verification modal, DOB collection and validation, legal age checks, session persistence for verified users, and re-verification mechanisms.",P0,
Epic,CNS-0007,"Complete rewards system including points balance display, tier progression tracking, reward redemption, referral program management, points transaction history, and rewards analytics.",P0,
Epic,CNS-0008,"Full cart functionality including add/remove items, quantity adjustment, cart summary display, discount application, promotional codes, cart persistence, and empty cart handling.",P0,
Epic,CNS-0009,"Complete purchase flow including order review, delivery/pickup selection, payment information entry, promotional code application, order confirmation, and guest checkout support.",P0,
Epic,CNS-0010,"Comprehensive order tracking including past order viewing, detailed order information, order status tracking, quick reorder functionality, order filtering/sorting, and order cancellation.",P0,
Epic,CNS-0011,"User profile management including personal information editing, contact details management, birthday/gender updates, address management, preference center for notifications/marketing/privacy, and profile data validation.",P0,
Epic,CNS-0012,"Secure payment method management including add/remove payment methods, default payment selection, secure payment detail updates, payment history viewing, and PCI compliance.",P0,
Epic,CNS-0013,"Detailed order history with past order viewing, order detail access, real-time status tracking, reorder functionality, order search/filter, delivery/pickup tracking, and order cancellation.",P1,
Epic,CNS-0014,"User activity analytics including spending patterns visualization, order frequency analysis, rewards metrics, personalized insights, data export capabilities, and comparative analytics.",P1,
Epic,CNS-0015,"Enhanced security through biometric authentication management, Face ID/Touch ID setup, biometric preferences, fallback authentication, device management, and security audit logging.",P1,
Epic,CNS-0016,"Responsible drinking features including BAC estimation, drink tracking, biometric health monitoring, safety alerts, drinking session management, and intervention mechanisms.",P1,
Epic,CNS-0017,"Complete Stripe integration including payment method management, secure payment processing, PCI compliance, subscription billing support, refund handling, webhook management, and payment analytics.",P0,
Epic,CNS-0018,"Comprehensive privacy controls including GDPR/CCPA compliance, cookie consent management, data privacy controls (export/deletion), security audit logs, consent management, and privacy policy access.",P0,
Epic,CNS-0019,"Venue onboarding system including partnership landing page, benefits display, venue inquiry form, partnership program details, lead management, and partnership analytics.",P1,
Epic,CNS-0020,"Social ordering features including buddy list management, drink assignment to friends, group order creation, assignee acceptance workflow, sobriety monitor integration, and group payment splitting.",P2,
Epic,CNS-0021,"Real-time AI-powered safety advisor providing personalized recommendations, predictive BAC alerts, intervention strategies, emergency notifications, and effectiveness tracking.",P0,
Epic,CNS-0022,"Hands-free ordering through voice commands, natural language processing, order confirmation, voice search, accessibility features, and multi-language support.",P1,
Epic,CNS-0023,"Intelligent allergen management with profile-based allergen tracking, real-time product warnings, severity-based alerts, cross-contamination warnings, and alternative product suggestions.",P1,
Epic,CNS-0024,"AI-powered venue recommendations based on user preferences, occasion-based suggestions, social group matching, real-time availability, and personalized venue ranking.",P2,
Epic,CNS-0025,"Intelligent group order coordination with preference learning, conflict resolution, budget optimization, timing coordination, and dietary accommodation.",P2,
Epic,CNS-0026,"Automated spending insights with pattern recognition, budget tracking, category analysis, predictive spending, tax/expense reporting, and financial goal tracking.",P2,
